time	1	2	3	4	5	6	7	8	9	10
08:30	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
08:35	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
08:40	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
08:45	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
08:50	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
08:55	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
09:00	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
09:05	2.0948577004965734	2.773253525152633	0.7331089312086959	1.167037771608062	0.472545819769121	1.3387298785846873	2.3192884377644303	2.9608295095994195	2.34203900370226	0.07522114639371263
09:10	1.9538755034601378	1.4163028224922931	0.7331089312086959	0.662315748049088	0.27080755498728176	0.3252161097498827	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
09:15	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
09:20	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
09:25	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
09:30	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
09:35	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
09:40	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
09:45	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
09:50	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
09:55	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
10:00	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
10:05	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
10:10	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
10:15	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
10:20	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
10:25	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
10:30	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
10:35	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
10:40	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
10:45	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
10:50	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
10:55	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
11:00	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
11:05	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
11:10	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
11:15	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
11:20	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
11:25	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
11:30	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
11:35	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
11:40	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
11:45	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
11:50	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
11:55	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
12:00	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
12:05	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
12:10	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
12:15	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
12:20	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
12:25	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
12:30	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
12:35	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
12:40	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
12:45	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
12:50	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
12:55	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
13:00	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
13:05	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
13:10	1.9538755034601378	0.9824384702191425	0.7331089312086959	0.662315748049088	0.27080755498728176	0.0	1.716347147241781	2.9608295095994195	1.748884494422905	0.0
